,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,0,58.34502643680415,7.638391613213095,0.7189611978617434,0.015503168106079102,66.92678590865619,8.180879287011647,0.6477332744032644,0.015503168106079102,unharmonized,Stratified
Linear Regression,1,57.43823043841098,7.578801385338646,0.7215960912987649,0.2805519104003906,66.52347799250546,8.156192616196938,0.6590038448462949,0.2805519104003906,unharmonized,Stratified
Linear Regression,2,57.543321115138134,7.585731415963666,0.7199409161940107,0.28336000442504883,65.36517048712982,8.084872941928637,0.6707582210843531,0.28336000442504883,unharmonized,Stratified
Linear Regression,3,57.39556071216501,7.57598579144424,0.7141195983888331,0.2859950065612793,66.51213697887755,8.155497347119766,0.6939489850808891,0.2859950065612793,unharmonized,Stratified
Linear Regression,4,57.335013930446515,7.571988769830982,0.7136925611970755,0.274306058883667,232.66833321542552,15.253469546808867,-0.060453144269368764,0.274306058883667,unharmonized,Stratified
Ridge Regression,0,64.05403292629748,8.003376345411821,0.6914618128551296,0.25264787673950195,68.2075358141026,8.258785371596879,0.640992093434023,0.25264787673950195,unharmonized,Stratified
Ridge Regression,1,63.10003062028317,7.943552770661448,0.694153266391254,0.07735395431518555,71.64929119480013,8.464590432785283,0.6327291724033492,0.07735395431518555,unharmonized,Stratified
Ridge Regression,2,63.944783441892525,7.996548220444401,0.6887854729643401,0.20714020729064941,67.46785035988776,8.213881564759001,0.6601671057145361,0.20714020729064941,unharmonized,Stratified
Ridge Regression,3,62.880648971220445,7.929731960868566,0.6867990318691457,0.23907995223999023,72.68510031540144,8.525555718860879,0.6655445196702894,0.23907995223999023,unharmonized,Stratified
Ridge Regression,4,64.41371508777122,8.02581554035297,0.6783444438867086,0.229172945022583,65.68273921234747,8.104488831033544,0.7006319409291194,0.229172945022583,unharmonized,Stratified
Linear Regression,0,57.76989569955904,7.600651004983654,0.7170994139754425,0.27860188484191895,63.743208949329855,7.983934427920225,0.6868655248257588,0.27860188484191895,unharmonized,Random
