,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,0,35.22948184160753,5.935442851347112,0.8307913836221826,0.08708000183105469,65.63432630949274,8.101501484878758,0.649485892867705,0.08708000183105469,unharmonized,Stratified
Linear Regression,1,33.932647246940206,5.825173580842051,0.830885796715783,0.34061217308044434,81.51455120327553,9.028540923276337,0.6256641071475801,0.34061217308044434,unharmonized,Stratified
Linear Regression,2,34.4708905576904,5.871191579031501,0.8280319651699973,0.4176020622253418,51.815670424453316,7.198310247860488,0.7624319663210753,0.4176020622253418,unharmonized,Stratified
Linear Regression,3,35.837459992539145,5.986439675845665,0.8284214581093158,0.35119104385375977,45.03528701514944,6.7108335559116234,0.7563718187264821,0.35119104385375977,unharmonized,Stratified
Linear Regression,4,35.48278591431208,5.956742894763218,0.8245128118958006,0.3659489154815674,53.80526497767342,7.335207221181514,0.7457696819470534,0.3659489154815674,unharmonized,Stratified
Ridge Regression,0,42.197326925086045,6.495946961381846,0.7973245438028724,0.2817518711090088,49.12009945185458,7.008573282191931,0.7376786085922513,0.2817518711090088,unharmonized,Stratified
Ridge Regression,1,40.45861366416842,6.360708581924534,0.7983615552890071,0.5004830360412598,55.16755521377302,7.427486466751254,0.7466563241459268,0.5004830360412598,unharmonized,Stratified
Ridge Regression,2,40.92299893929744,6.397108639010083,0.7958437512612733,0.5527429580688477,53.46572973955254,7.31202637711001,0.7548666613905284,0.5527429580688477,unharmonized,Stratified
Ridge Regression,3,41.90072464952288,6.473076907431494,0.7993924446368439,0.48046183586120605,48.07954770637946,6.933941714954018,0.7399032283236421,0.48046183586120605,unharmonized,Stratified
Ridge Regression,4,41.268249371062765,6.424036843843812,0.7958996495483857,0.3731379508972168,53.117566779153485,7.2881799359753385,0.749019061572016,0.3731379508972168,unharmonized,Stratified
Linear Regression,0,34.60613881077936,5.882698259368685,0.8249247844496541,0.39267897605895996,51.96765708852007,7.208859624692388,0.7724666283746054,0.39267897605895996,unharmonized,Random
Linear Regression,1,35.4936160358634,5.957651889449685,0.8259248496987589,0.3489837646484375,55.47565841924837,7.448198333774979,0.7291516494497168,0.3489837646484375,unharmonized,Random
Linear Regression,2,35.015473449840776,5.917387383790314,0.8338484718308001,0.37430596351623535,51.28006239259105,7.161009872398658,0.7098338970552607,0.37430596351623535,unharmonized,Random
