,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,2.0,57.61143052659296,7.590179795158126,0.7176620729880854,0.22794322967529296,99.59918091651892,9.566182347813172,0.5221982362290866,0.22794322967529296,unharmonized,Stratified
Ridge Regression,2.0,63.67864220949296,7.979804967547841,0.6879088055933156,0.20107898712158204,69.13850337930788,8.313460383807117,0.6600129664302634,0.20107898712158204,unharmonized,Stratified
Linear Regression,2.0,57.63656102740971,7.591087682083305,0.7175949684779139,0.2802093505859375,105.61590697656973,9.663172711580742,0.5095206509098207,0.2802093505859375,unharmonized,Random
Ridge Regression,2.0,63.764829904074986,7.984969619837832,0.6875030886272399,0.2128537654876709,68.29525986804268,8.25952749509764,0.6644811362054371,0.2128537654876709,unharmonized,Random
Linear Regression,2.0,62.660871517692065,7.915648239010073,0.6928652770589394,0.2340827465057373,69.6193297894328,8.340454193188005,0.6571263059781183,0.2340827465057373,combat,Stratified
Ridge Regression,2.0,67.91674071969575,8.240908385395093,0.6671123497312715,0.14865608215332032,73.72964609376714,8.582408460007832,0.6370817529765311,0.14865608215332032,combat,Stratified
Linear Regression,2.0,62.7348322820363,7.920208658777318,0.6925526721537498,0.2892319679260254,68.830829489181,8.292091520539376,0.66174742769238,0.2892319679260254,combat,Random
Ridge Regression,2.0,67.99674331698012,8.245690168948261,0.6667655244130382,0.22886486053466798,72.95658003986466,8.53676892952808,0.6415659496207555,0.22886486053466798,combat,Random
Linear Regression,2.0,62.20078294239852,7.886542121431273,0.6951138901374727,0.2281515121459961,68.9935611420472,8.302869655432099,0.6600711954847054,0.2281515121459961,covbat,Stratified
Ridge Regression,2.0,67.52540086027501,8.217151790407014,0.6690260016352291,0.18410053253173828,73.21161108734418,8.552461055179538,0.6395450815363042,0.18410053253173828,covbat,Stratified
Linear Regression,2.0,62.274589878008626,7.891131544780565,0.6948017735300527,0.2815464973449707,68.24054265612314,8.25687968367202,0.6645400022088618,0.2815464973449707,covbat,Random
Ridge Regression,2.0,67.60285635431369,8.221800764791748,0.66868936848892,0.2018904209136963,72.47233303275378,8.508842170024021,0.6438349540635115,0.2018904209136963,covbat,Random
