,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,2.000 ± 1.414,57.611 ± 0.373,7.590 ± 0.025,0.718 ± 0.003,0.228 ± 0.106,99.599 ± 66.537,9.566 ± 2.844,0.522 ± 0.292,0.228 ± 0.106,unharmonized,Stratified
Ridge Regression,2.000 ± 1.414,63.679 ± 0.587,7.980 ± 0.037,0.688 ± 0.005,0.201 ± 0.064,69.139 ± 2.626,8.313 ± 0.158,0.660 ± 0.024,0.201 ± 0.064,unharmonized,Stratified
Linear Regression,2.000 ± 1.414,57.637 ± 1.644,7.591 ± 0.109,0.718 ± 0.004,0.280 ± 0.003,105.616 ± 85.950,9.663 ± 3.498,0.510 ± 0.340,0.280 ± 0.003,unharmonized,Random
Ridge Regression,2.000 ± 1.414,63.765 ± 1.133,7.985 ± 0.071,0.688 ± 0.002,0.213 ± 0.074,68.295 ± 4.628,8.260 ± 0.275,0.664 ± 0.009,0.213 ± 0.074,unharmonized,Random
Linear Regression,2.000 ± 1.414,62.661 ± 0.925,7.916 ± 0.058,0.693 ± 0.008,0.234 ± 0.111,69.619 ± 3.886,8.340 ± 0.237,0.657 ± 0.033,0.234 ± 0.111,combat,Stratified
Ridge Regression,2.000 ± 1.414,67.917 ± 1.068,8.241 ± 0.065,0.667 ± 0.008,0.149 ± 0.102,73.730 ± 4.549,8.582 ± 0.268,0.637 ± 0.034,0.149 ± 0.102,combat,Stratified
Linear Regression,2.000 ± 1.414,62.735 ± 1.127,7.920 ± 0.072,0.693 ± 0.002,0.289 ± 0.009,68.831 ± 4.537,8.292 ± 0.268,0.662 ± 0.011,0.289 ± 0.009,combat,Random
Ridge Regression,2.000 ± 1.414,67.997 ± 1.198,8.246 ± 0.073,0.667 ± 0.002,0.229 ± 0.008,72.957 ± 4.915,8.537 ± 0.283,0.642 ± 0.010,0.229 ± 0.008,combat,Random
Linear Regression,2.000 ± 1.414,62.201 ± 0.902,7.887 ± 0.057,0.695 ± 0.008,0.228 ± 0.108,68.994 ± 3.860,8.303 ± 0.236,0.660 ± 0.034,0.228 ± 0.108,covbat,Stratified
Ridge Regression,2.000 ± 1.414,67.525 ± 1.019,8.217 ± 0.062,0.669 ± 0.008,0.184 ± 0.079,73.212 ± 4.371,8.552 ± 0.259,0.640 ± 0.034,0.184 ± 0.079,covbat,Stratified
Linear Regression,2.000 ± 1.414,62.275 ± 1.068,7.891 ± 0.068,0.695 ± 0.002,0.282 ± 0.013,68.241 ± 4.271,8.257 ± 0.254,0.665 ± 0.012,0.282 ± 0.013,covbat,Random
Ridge Regression,2.000 ± 1.414,67.603 ± 1.139,8.222 ± 0.070,0.669 ± 0.002,0.202 ± 0.022,72.472 ± 4.652,8.509 ± 0.268,0.644 ± 0.011,0.202 ± 0.022,covbat,Random
