,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,2.000 ± 1.414,34.991 ± 0.694,5.915 ± 0.059,0.829 ± 0.002,0.312 ± 0.116,59.561 ± 12.829,7.675 ± 0.811,0.708 ± 0.058,0.312 ± 0.116,unharmonized,Stratified
Ridge Regression,2.000 ± 1.414,41.350 ± 0.633,6.430 ± 0.049,0.797 ± 0.001,0.438 ± 0.097,51.790 ± 2.716,7.194 ± 0.189,0.746 ± 0.006,0.438 ± 0.097,unharmonized,Stratified
Linear Regression,2.000 ± 1.414,34.996 ± 0.288,5.916 ± 0.024,0.828 ± 0.003,0.373 ± 0.016,55.235 ± 5.989,7.422 ± 0.391,0.728 ± 0.029,0.373 ± 0.016,unharmonized,Random
Ridge Regression,2.000 ± 1.414,41.274 ± 0.618,6.424 ± 0.048,0.798 ± 0.004,0.395 ± 0.108,52.488 ± 3.165,7.242 ± 0.218,0.741 ± 0.020,0.395 ± 0.108,unharmonized,Random
Linear Regression,2.000 ± 1.414,33.485 ± 0.563,5.786 ± 0.049,0.836 ± 0.001,0.303 ± 0.109,47.612 ± 3.478,6.895 ± 0.253,0.766 ± 0.007,0.303 ± 0.109,combat,Stratified
Ridge Regression,2.000 ± 1.414,42.680 ± 0.702,6.533 ± 0.054,0.791 ± 0.002,0.379 ± 0.096,53.183 ± 3.638,7.288 ± 0.249,0.739 ± 0.011,0.379 ± 0.096,combat,Stratified
Linear Regression,2.000 ± 1.414,33.491 ± 0.579,5.787 ± 0.050,0.836 ± 0.001,0.352 ± 0.014,47.507 ± 2.935,6.889 ± 0.215,0.766 ± 0.008,0.352 ± 0.014,combat,Random
Ridge Regression,2.000 ± 1.414,42.684 ± 0.653,6.533 ± 0.050,0.791 ± 0.003,0.382 ± 0.100,53.143 ± 3.542,7.286 ± 0.245,0.738 ± 0.019,0.382 ± 0.100,combat,Random
Linear Regression,2.000 ± 1.414,33.058 ± 0.499,5.749 ± 0.043,0.838 ± 0.001,0.328 ± 0.129,46.970 ± 3.013,6.850 ± 0.221,0.769 ± 0.006,0.328 ± 0.129,covbat,Stratified
Ridge Regression,2.000 ± 1.414,42.262 ± 0.631,6.501 ± 0.049,0.793 ± 0.002,0.442 ± 0.104,52.556 ± 3.270,7.246 ± 0.225,0.742 ± 0.012,0.442 ± 0.104,covbat,Stratified
Linear Regression,2.000 ± 1.414,33.062 ± 0.527,5.750 ± 0.046,0.838 ± 0.001,0.363 ± 0.010,46.918 ± 2.731,6.847 ± 0.202,0.769 ± 0.008,0.363 ± 0.010,covbat,Random
Ridge Regression,2.000 ± 1.414,42.254 ± 0.658,6.500 ± 0.050,0.793 ± 0.004,0.464 ± 0.104,52.658 ± 3.528,7.252 ± 0.246,0.741 ± 0.019,0.464 ± 0.104,covbat,Random
