,Fold,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,0,0.991214308126765,0.9911868428304423,0.991214308126765,0.991113033416867,0.998713571275977,0.9991132102796296,0.9983988794604004,1.406211292,0.7252195734002509,0.7367019723593277,0.7252195734002509,0.7184850215951339,0.6879131213773437,0.8484988866267286,0.7017123155456088,1.406211292,unharmonized,Stratified
SVM,1,0.9940382805145905,0.9940637887355397,0.9940382805145905,0.993973867548021,0.9991222243398581,0.9993493256790507,0.9988177292498448,1.2966671670000007,0.7252195734002509,0.7432490320349056,0.7252195734002509,0.7251177407393352,0.6732488886460652,0.8316892208931839,0.6680679231967901,1.2966671670000007,unharmonized,Stratified
SVM,2,0.9924694069657986,0.9924334662332779,0.9924694069657986,0.9924062285659905,0.9988850313290758,0.9992516931805603,0.9986500125933389,1.2624441660000016,0.7478042659974906,0.7467808481725443,0.7478042659974906,0.7413376330287409,0.6481309782697501,0.822329444613658,0.649137196198371,1.2624441660000016,unharmonized,Stratified
SVM,3,0.9959209287731409,0.9959183722896565,0.9959209287731409,0.9958971170128087,0.9993962106661944,0.9995724207606439,0.9992250945558567,1.2304267089999996,0.7327478042659975,0.7422456306853692,0.7327478042659975,0.7310337635692791,0.6776942806668529,0.8442857112666367,0.689223726300855,1.2304267089999996,unharmonized,Stratified
SVM,4,0.9943538268506901,0.9943305590929232,0.9943538268506901,0.9943259903770862,0.9991720638324525,0.9994600908719755,0.9990291946764647,1.3167270000000002,0.7462311557788944,0.7541839013473293,0.7462311557788944,0.7419953887956112,0.616622306923678,0.8060861555810581,0.6165003022918052,1.3167270000000002,unharmonized,Stratified
NB,0,0.50392218387198,0.631951757753439,0.50392218387198,0.5188015323769062,0.5765202273976608,0.8263199938844064,0.6606895101449077,0.04415141700000014,0.35508155583437895,0.5097184811141172,0.35508155583437895,0.38027352013081644,0.36193456065590995,0.6984585681251565,0.4073433824712943,0.04415141700000014,unharmonized,Stratified
NB,1,0.48509570128647633,0.6161560637508062,0.48509570128647633,0.4934802905689229,0.575614521550979,0.8208769490264127,0.6501114555117404,0.042016874999998066,0.370138017565872,0.507765948401965,0.370138017565872,0.3798846104679883,0.34355330536369555,0.692963215938355,0.39612752819281677,0.042016874999998066,unharmonized,Stratified
NB,2,0.49356761844995295,0.6305877661654617,0.49356761844995295,0.5051202694556803,0.5688526710428211,0.8237042064576037,0.655591877406425,0.04120287499999975,0.35006273525721454,0.48416244908790484,0.35006273525721454,0.37401906566112925,0.2913037733772432,0.6569137292753379,0.3255440168487596,0.04120287499999975,unharmonized,Stratified
NB,3,0.499215563225604,0.6154599170491469,0.499215563225604,0.5118854117623332,0.5731725911108697,0.8242466193114014,0.6566099246611423,0.042523584000001335,0.32747804265997493,0.4591748087467796,0.32747804265997493,0.3538056805518497,0.27897774965536193,0.6559968856059926,0.3208987841435668,0.042523584000001335,unharmonized,Stratified
NB,4,0.4880803011292346,0.6313491236901856,0.4880803011292346,0.5075704724313298,0.5617065154203286,0.8216661490215971,0.6515997210313538,0.04672895899999929,0.36055276381909546,0.49427344804034884,0.36055276381909546,0.3903364912799318,0.31896526580670953,0.6660823243957127,0.3425230200050209,0.04672895899999929,unharmonized,Stratified
SVM,0,0.9930969563853154,0.9930753371530648,0.9930969563853154,0.9930415451980835,0.9989964309285829,0.9993176487171418,0.9987697973732266,1.295921000000007,0.7465495608531995,0.7620407640759449,0.7465495608531995,0.7475211473138138,0.6829985131413384,0.8374276797765556,0.6794148457190028,1.295921000000007,unharmonized,Random
SVM,1,0.9946658299341073,0.9947371405718602,0.9946658299341073,0.9945948623761108,0.9991910745333528,0.9993540367677646,0.9988171515359584,1.2352857079999993,0.7189460476787954,0.7267520875607851,0.7189460476787954,0.7134692209822894,0.6575260255007657,0.8302267891308924,0.6654419104100964,1.2352857079999993,unharmonized,Random
