,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,0.9464106259785774,0.9446400005255502,0.9464106259785774,0.9403093701138687,0.9890720934585255,0.992941881912806,0.9869515849920012,0.8568843082000285,0.6779635315851529,0.6789574611531315,0.6779635315851529,0.6669105981547034,0.5523925754914357,0.774665610861792,0.5540944827943066,0.8568843082000285,unharmonized,Stratified
NB,0.5986447255337418,0.6483859979581055,0.5986447255337418,0.6030016110251587,0.6475043454177671,0.8460765980565219,0.6988496386988826,0.012009625000018787,0.4435351159814127,0.4948649447396137,0.4435351159814127,0.44972512081577465,0.3338752818775706,0.6711663741966231,0.3506143213161711,0.012009625000018787,unharmonized,Stratified
SVM,0.9462224398916709,0.9447459278396199,0.9462224398916709,0.9398742133229259,0.988947939222568,0.9928417488578223,0.9867568250794863,0.7972994082000013,0.6759519050711525,0.6730098935294123,0.6759519050711525,0.6637339330321931,0.5571199368619298,0.7771148458660877,0.5601166481550646,0.7972994082000013,unharmonized,Random
NB,0.5998367347902926,0.6538937401049505,0.5998367347902926,0.6052068513367526,0.6545245511831623,0.8486216984183301,0.703911971322594,0.01128783320000366,0.4367499353732275,0.4973582461002456,0.4367499353732275,0.44540743671823435,0.3344172033674691,0.6715664140231937,0.35494247849886124,0.01128783320000366,unharmonized,Random
SVM,0.7515065319863199,0.8383835460095794,0.7515065319863199,0.7492551744570541,0.7934212949890551,0.8732971372932281,0.7514551962215595,4.710990183400031,0.15512127765552983,0.08831973432411648,0.15512127765552983,0.10711558868005569,0.010511580590427318,0.4987313769894546,0.013522084560259096,4.710990183400031,combat,Stratified
NB,0.12970554782820265,0.1656676019920126,0.12970554782820265,0.11832042656880055,0.09924703633007967,0.5766022420313253,0.16759534959383188,0.011682625000025837,0.06250165507588129,0.07400482008349171,0.06250165507588129,0.06503030911911616,0.0074471741398059715,0.4935487854296115,0.010752751303309023,0.011682625000025837,combat,Stratified
SVM,0.7446019923316138,0.8356681053165571,0.7446019923316138,0.7415134697318387,0.7863121097476199,0.8710593353525768,0.7471083952071779,4.558336050000003,0.14984773301892146,0.08549541543082659,0.14984773301892146,0.10517549884017344,0.009857106339999594,0.4977379880843363,0.012890277459532595,4.558336050000003,combat,Random
NB,0.13315675467975102,0.1546936871970908,0.13315675467975102,0.11930126775806582,0.1004089739736846,0.5777415225408447,0.16983310836839627,0.011551083399990603,0.061751354009697154,0.07599885087782046,0.061751354009697154,0.06496479041075166,0.007937481214129105,0.49839557916119404,0.012406571696515843,0.011551083399990603,combat,Random
SVM,0.678214271513154,0.8198251705971916,0.678214271513154,0.6725980384014832,0.7095265229430164,0.8158039937132745,0.6379987771556486,4.712973358400018,0.18122639546540734,0.08776540351590653,0.18122639546540734,0.11149912349615292,0.010176882024090426,0.4992332641840999,0.014604646530372689,4.712973358400018,covbat,Stratified
NB,0.12725893185104636,0.15604264086195954,0.12725893185104636,0.11385790247677847,0.09609027611480307,0.5800927563059304,0.17454562426716969,0.011553499799993006,0.05898785016676859,0.0809793743130605,0.05898785016676859,0.06395607957575711,0.007646422065695185,0.4949562996037559,0.00961115902467126,0.011553499799993006,covbat,Stratified
SVM,0.6804089228551214,0.821388702299334,0.6804089228551214,0.6747149564034227,0.716801404000312,0.8208678493753861,0.6480866207026985,4.482254575200022,0.16992963563110405,0.08149954272297441,0.16992963563110405,0.10638713905371258,0.009318082349843968,0.49915787671355705,0.013311144293120738,4.482254575200022,covbat,Random
NB,0.12556482400467078,0.1576716976796957,0.12556482400467078,0.1127848073013394,0.100886370554925,0.5816063370082898,0.17758663908626401,0.011120099999993726,0.057977465747810576,0.08268389237720446,0.057977465747810576,0.06461954917528848,0.007881582557317753,0.4971332687063465,0.009133797081821392,0.011120099999993726,covbat,Random
