,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,0.993599350246197,0.9935866058363679,0.993599350246197,0.9935432473841546,0.9990578202887116,0.9993493481543719,0.998824182107181,1.3024952668000005,0.7354444745685769,0.7446322769198952,0.7354444745685769,0.73159390954562,0.660721915176738,0.830577883796253,0.664928292706686,1.3024952668000005,unharmonized,Stratified
NB,0.49397627359264956,0.625100925681808,0.49397627359264956,0.5073715953190344,0.5711733053045318,0.8233627835402842,0.6549204977511138,0.043324741999999715,0.35266262302730716,0.49101902707822315,0.35266262302730716,0.37566387361834314,0.31894693097178406,0.6740829446681109,0.3584873463322917,0.043324741999999715,unharmonized,Stratified
SVM,0.9934739387859792,0.9934780889485765,0.9934739387859792,0.9934084089372774,0.9990353386372813,0.999311401429986,0.9987517866028769,1.2966854500000011,0.7339375673852323,0.7473448697894197,0.7339375673852323,0.7312383720318836,0.6487464705343873,0.8254717162824473,0.6554109309202882,1.2966854500000011,unharmonized,Random
NB,0.4926577308458649,0.6308555766641141,0.4926577308458649,0.507706924421492,0.5746714531423034,0.8257236930355324,0.6596457852574947,0.042511474799998436,0.3521591647068466,0.4940056336940084,0.3521591647068466,0.3762407796056693,0.31556518439509695,0.6733601353005754,0.3597910599796465,0.042511474799998436,unharmonized,Random
SVM,0.9952936155704697,0.9954071531011521,0.9952936155704697,0.995278206402211,0.9968517187855248,0.9987445787763971,0.9975746781521823,6.778764274600002,0.03187802248381179,0.07031524090409687,0.03187802248381179,0.0417909057715754,0.005986650590378309,0.49689421875439255,0.006083927923878403,6.778764274600002,combat,Stratified
NB,0.06457079989716694,0.12568706334138283,0.06457079989716694,0.04247576533443172,0.07723020232878663,0.5795631361719533,0.17389948722779922,0.04089674999999602,0.00903576855418876,0.03149598440076605,0.00903576855418876,0.006997671173713247,0.003247404340589665,0.49785093295620086,0.009243119085791939,0.04089674999999602,combat,Stratified
SVM,0.995293674624681,0.9954350104741975,0.995293674624681,0.9952893840140835,0.9967038763933063,0.9988609606651029,0.997806636783114,6.789874141399997,0.031373933658253625,0.06986751368060437,0.031373933658253625,0.041561482427700205,0.005803557795652869,0.49742605306101995,0.0050353337384317605,6.789874141399997,combat,Random
NB,0.06337833789166229,0.1590588674569344,0.06337833789166229,0.04080947225006133,0.07971000568146311,0.5809056459020601,0.1766014150990126,0.04101674160000357,0.010291104203577487,0.010428439103817622,0.010291104203577487,0.008073383367452013,0.003608557941111605,0.5009675250748342,0.011339425319710706,0.04101674160000357,combat,Random
SVM,0.9959212043594607,0.9960195720108656,0.9959212043594607,0.9959052789179651,0.996722348063679,0.9987071765486952,0.997488961121924,6.669507108799996,0.025604181509807505,0.06441522000205821,0.025604181509807505,0.03492674455229317,0.004416070007778699,0.49437788326322696,0.003991607452251494,6.669507108799996,covbat,Stratified
NB,0.06789694961376577,0.15241392888220523,0.06789694961376577,0.0436403106708753,0.08005791050203082,0.580305817020683,0.17533500211416503,0.0423259833999964,0.012047060900487381,0.009739679471380167,0.012047060900487381,0.009045496549767874,0.003703446445838717,0.49672645938081345,0.0088809168890026,0.0423259833999964,covbat,Stratified
SVM,0.9949172040271822,0.9951106400323274,0.9949172040271822,0.994905571575719,0.9964023859055885,0.9986758106981952,0.9974434202581127,6.87809404200002,0.02560165948941697,0.05976728885819693,0.02560165948941697,0.0335331078630251,0.004596079501130991,0.49580567905797335,0.004096491948153129,6.87809404200002,covbat,Random
NB,0.06626500616722815,0.17479708042558212,0.06626500616722815,0.04288609592180611,0.07745318858360022,0.580365119889858,0.17546884260111514,0.04106140820000519,0.013553022326185507,0.048725817314703115,0.013553022326185507,0.012714995139753504,0.004423873886390787,0.5017834579439183,0.00924258965511103,0.04106140820000519,covbat,Random
