,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,0.946 ± 0.002,0.945 ± 0.002,0.946 ± 0.002,0.940 ± 0.003,0.989 ± 0.001,0.993 ± 0.000,0.987 ± 0.001,0.857 ± 0.067,0.678 ± 0.005,0.679 ± 0.004,0.678 ± 0.005,0.667 ± 0.004,0.552 ± 0.034,0.775 ± 0.017,0.554 ± 0.034,0.857 ± 0.067,unharmonized,Stratified
NB,0.599 ± 0.005,0.648 ± 0.004,0.599 ± 0.005,0.603 ± 0.004,0.648 ± 0.006,0.846 ± 0.003,0.699 ± 0.007,0.012 ± 0.000,0.444 ± 0.031,0.495 ± 0.032,0.444 ± 0.031,0.450 ± 0.028,0.334 ± 0.039,0.671 ± 0.022,0.351 ± 0.044,0.012 ± 0.000,unharmonized,Stratified
SVM,0.946 ± 0.002,0.945 ± 0.002,0.946 ± 0.002,0.940 ± 0.001,0.989 ± 0.000,0.993 ± 0.000,0.987 ± 0.001,0.797 ± 0.061,0.676 ± 0.008,0.673 ± 0.014,0.676 ± 0.008,0.664 ± 0.011,0.557 ± 0.039,0.777 ± 0.015,0.560 ± 0.031,0.797 ± 0.061,unharmonized,Random
NB,0.600 ± 0.011,0.654 ± 0.012,0.600 ± 0.011,0.605 ± 0.012,0.655 ± 0.010,0.849 ± 0.003,0.704 ± 0.007,0.011 ± 0.000,0.437 ± 0.022,0.497 ± 0.018,0.437 ± 0.022,0.445 ± 0.019,0.334 ± 0.028,0.672 ± 0.012,0.355 ± 0.026,0.011 ± 0.000,unharmonized,Random
SVM,0.752 ± 0.013,0.838 ± 0.006,0.752 ± 0.013,0.749 ± 0.013,0.793 ± 0.015,0.873 ± 0.011,0.751 ± 0.022,4.711 ± 0.252,0.155 ± 0.008,0.088 ± 0.006,0.155 ± 0.008,0.107 ± 0.004,0.011 ± 0.001,0.499 ± 0.002,0.014 ± 0.001,4.711 ± 0.252,combat,Stratified
NB,0.130 ± 0.008,0.166 ± 0.013,0.130 ± 0.008,0.118 ± 0.007,0.099 ± 0.002,0.577 ± 0.005,0.168 ± 0.010,0.012 ± 0.001,0.063 ± 0.011,0.074 ± 0.007,0.063 ± 0.011,0.065 ± 0.009,0.007 ± 0.001,0.494 ± 0.006,0.011 ± 0.005,0.012 ± 0.001,combat,Stratified
SVM,0.745 ± 0.015,0.836 ± 0.006,0.745 ± 0.015,0.742 ± 0.015,0.786 ± 0.017,0.871 ± 0.012,0.747 ± 0.024,4.558 ± 0.094,0.150 ± 0.017,0.085 ± 0.013,0.150 ± 0.017,0.105 ± 0.015,0.010 ± 0.002,0.498 ± 0.001,0.013 ± 0.002,4.558 ± 0.094,combat,Random
NB,0.133 ± 0.017,0.155 ± 0.015,0.133 ± 0.017,0.119 ± 0.013,0.100 ± 0.009,0.578 ± 0.008,0.170 ± 0.015,0.012 ± 0.000,0.062 ± 0.015,0.076 ± 0.015,0.062 ± 0.015,0.065 ± 0.013,0.008 ± 0.001,0.498 ± 0.002,0.012 ± 0.003,0.012 ± 0.000,combat,Random
SVM,0.678 ± 0.018,0.820 ± 0.006,0.678 ± 0.018,0.673 ± 0.019,0.710 ± 0.026,0.816 ± 0.016,0.638 ± 0.032,4.713 ± 0.278,0.181 ± 0.010,0.088 ± 0.007,0.181 ± 0.010,0.111 ± 0.004,0.010 ± 0.001,0.499 ± 0.001,0.015 ± 0.001,4.713 ± 0.278,covbat,Stratified
NB,0.127 ± 0.010,0.156 ± 0.013,0.127 ± 0.010,0.114 ± 0.008,0.096 ± 0.007,0.580 ± 0.004,0.175 ± 0.008,0.012 ± 0.000,0.059 ± 0.012,0.081 ± 0.005,0.059 ± 0.012,0.064 ± 0.008,0.008 ± 0.002,0.495 ± 0.005,0.010 ± 0.004,0.012 ± 0.000,covbat,Stratified
SVM,0.680 ± 0.018,0.821 ± 0.002,0.680 ± 0.018,0.675 ± 0.019,0.717 ± 0.022,0.821 ± 0.015,0.648 ± 0.029,4.482 ± 0.128,0.170 ± 0.019,0.081 ± 0.012,0.170 ± 0.019,0.106 ± 0.014,0.009 ± 0.001,0.499 ± 0.001,0.013 ± 0.001,4.482 ± 0.128,covbat,Random
NB,0.126 ± 0.008,0.158 ± 0.006,0.126 ± 0.008,0.113 ± 0.006,0.101 ± 0.011,0.582 ± 0.007,0.178 ± 0.014,0.011 ± 0.000,0.058 ± 0.018,0.083 ± 0.021,0.058 ± 0.018,0.065 ± 0.019,0.008 ± 0.002,0.497 ± 0.002,0.009 ± 0.002,0.011 ± 0.000,covbat,Random
