,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,0.994 ± 0.002,0.994 ± 0.002,0.994 ± 0.002,0.994 ± 0.002,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,1.302 ± 0.060,0.735 ± 0.010,0.745 ± 0.006,0.735 ± 0.010,0.732 ± 0.009,0.661 ± 0.026,0.831 ± 0.015,0.665 ± 0.030,1.302 ± 0.060,unharmonized,Stratified
NB,0.494 ± 0.007,0.625 ± 0.008,0.494 ± 0.007,0.507 ± 0.008,0.571 ± 0.005,0.823 ± 0.002,0.655 ± 0.004,0.043 ± 0.002,0.353 ± 0.014,0.491 ± 0.018,0.353 ± 0.014,0.376 ± 0.012,0.319 ± 0.031,0.674 ± 0.018,0.358 ± 0.036,0.043 ± 0.002,unharmonized,Stratified
SVM,0.993 ± 0.001,0.993 ± 0.001,0.993 ± 0.001,0.993 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,1.297 ± 0.051,0.734 ± 0.010,0.747 ± 0.015,0.734 ± 0.010,0.731 ± 0.013,0.649 ± 0.020,0.825 ± 0.010,0.655 ± 0.020,1.297 ± 0.051,unharmonized,Random
NB,0.493 ± 0.007,0.631 ± 0.008,0.493 ± 0.007,0.508 ± 0.007,0.575 ± 0.005,0.826 ± 0.003,0.660 ± 0.005,0.043 ± 0.001,0.352 ± 0.019,0.494 ± 0.031,0.352 ± 0.019,0.376 ± 0.024,0.316 ± 0.021,0.673 ± 0.012,0.360 ± 0.024,0.043 ± 0.001,unharmonized,Random
SVM,0.995 ± 0.002,0.995 ± 0.001,0.995 ± 0.002,0.995 ± 0.002,0.997 ± 0.001,0.999 ± 0.001,0.998 ± 0.001,6.779 ± 0.199,0.032 ± 0.004,0.070 ± 0.006,0.032 ± 0.004,0.042 ± 0.005,0.006 ± 0.002,0.497 ± 0.004,0.006 ± 0.003,6.779 ± 0.199,combat,Stratified
NB,0.065 ± 0.006,0.126 ± 0.040,0.065 ± 0.006,0.042 ± 0.003,0.077 ± 0.004,0.580 ± 0.006,0.174 ± 0.011,0.041 ± 0.002,0.009 ± 0.005,0.031 ± 0.050,0.009 ± 0.005,0.007 ± 0.005,0.003 ± 0.002,0.498 ± 0.002,0.009 ± 0.002,0.041 ± 0.002,combat,Stratified
SVM,0.995 ± 0.001,0.995 ± 0.001,0.995 ± 0.001,0.995 ± 0.001,0.997 ± 0.001,0.999 ± 0.000,0.998 ± 0.001,6.790 ± 0.356,0.031 ± 0.009,0.070 ± 0.019,0.031 ± 0.009,0.042 ± 0.011,0.006 ± 0.002,0.497 ± 0.004,0.005 ± 0.002,6.790 ± 0.356,combat,Random
NB,0.063 ± 0.002,0.159 ± 0.039,0.063 ± 0.002,0.041 ± 0.002,0.080 ± 0.007,0.581 ± 0.006,0.177 ± 0.013,0.041 ± 0.001,0.010 ± 0.003,0.010 ± 0.003,0.010 ± 0.003,0.008 ± 0.003,0.004 ± 0.001,0.501 ± 0.006,0.011 ± 0.003,0.041 ± 0.001,combat,Random
SVM,0.996 ± 0.000,0.996 ± 0.000,0.996 ± 0.000,0.996 ± 0.000,0.997 ± 0.001,0.999 ± 0.000,0.997 ± 0.001,6.670 ± 0.390,0.026 ± 0.006,0.064 ± 0.011,0.026 ± 0.006,0.035 ± 0.007,0.004 ± 0.001,0.494 ± 0.001,0.004 ± 0.002,6.670 ± 0.390,covbat,Stratified
NB,0.068 ± 0.004,0.152 ± 0.064,0.068 ± 0.004,0.044 ± 0.003,0.080 ± 0.006,0.580 ± 0.003,0.175 ± 0.005,0.042 ± 0.001,0.012 ± 0.007,0.010 ± 0.003,0.012 ± 0.007,0.009 ± 0.005,0.004 ± 0.002,0.497 ± 0.002,0.009 ± 0.002,0.042 ± 0.001,covbat,Stratified
SVM,0.995 ± 0.001,0.995 ± 0.000,0.995 ± 0.001,0.995 ± 0.001,0.996 ± 0.000,0.999 ± 0.000,0.997 ± 0.001,6.878 ± 0.475,0.026 ± 0.009,0.060 ± 0.029,0.026 ± 0.009,0.034 ± 0.012,0.005 ± 0.002,0.496 ± 0.004,0.004 ± 0.002,6.878 ± 0.475,covbat,Random
NB,0.066 ± 0.003,0.175 ± 0.025,0.066 ± 0.003,0.043 ± 0.002,0.077 ± 0.002,0.580 ± 0.003,0.175 ± 0.006,0.041 ± 0.001,0.014 ± 0.004,0.049 ± 0.048,0.014 ± 0.004,0.013 ± 0.003,0.004 ± 0.001,0.502 ± 0.006,0.009 ± 0.005,0.041 ± 0.001,covbat,Random
